"id","ts","min","max","avg","sum","cnt"
1549,"2018-06-21 03:55:00",0,1879,7,3650,491
1522,"2018-06-21 01:40:00",0,164,0,164,409
1564,"2018-06-21 05:10:00",0,1323,10,4265,416
1530,"2018-06-21 02:20:00",0,149,0,285,409
1537,"2018-06-21 02:55:00",0,881,4,2089,450
1523,"2018-06-21 01:45:00",0,10637,24,11347,465
1555,"2018-06-21 04:25:00",0,820,2,1394,497
1544,"2018-06-21 03:30:00",0,2652,5,2746,506
1531,"2018-06-21 02:25:00",0,1274,2,1319,522
1572,"2018-06-21 05:50:00",0,130,0,346,408
1538,"2018-06-21 03:00:00",0,350,0,357,400
1524,"2018-06-21 01:50:00",0,421,1,596,441
1560,"2018-06-21 04:50:00",0,353,1,646,402
1550,"2018-06-21 04:00:00",0,4982,22,8659,392
1581,"2018-06-21 06:35:00",0,540,3,1301,432
1545,"2018-06-21 03:35:00",0,978,2,978,354
1603,"2018-06-21 08:25:00",0,1550,5,2428,461
1539,"2018-06-21 03:05:00",0,128,0,196,402
1569,"2018-06-21 05:35:00",0,785,8,3302,381
1556,"2018-06-21 04:30:00",0,771,3,1498,432
1551,"2018-06-21 04:05:00",0,579,2,1193,400
1565,"2018-06-21 05:15:00",0,133,0,240,446
1546,"2018-06-21 03:40:00",0,1488,4,2191,471
1561,"2018-06-21 04:55:00",0,1177,5,2273,441
1586,"2018-06-21 07:00:00",0,9,0,11,446
1588,"2018-06-21 07:10:00",0,151,1,469,410
1576,"2018-06-21 06:10:00",0,1155,10,4135,406
1557,"2018-06-21 04:35:00",0,1323,6,2725,405
1573,"2018-06-21 05:55:00",0,190,1,489,411
1579,"2018-06-21 06:25:00",0,1679,16,8160,488
1566,"2018-06-21 05:20:00",0,202,0,241,395
1562,"2018-06-21 05:00:00",0,388,1,552,429
1570,"2018-06-21 05:40:00",0,877,4,2351,493
1584,"2018-06-21 06:50:00",0,5145,15,7071,469
1593,"2018-06-21 07:35:00",0,164,0,228,362
1582,"2018-06-21 06:40:00",0,892,4,2253,473
1590,"2018-06-21 07:20:00",0,866,8,3714,434
1577,"2018-06-21 06:15:00",0,874,3,1719,488
1574,"2018-06-21 06:00:00",0,699,4,1730,426
1602,"2018-06-21 08:20:00",0,367,1,773,411
1580,"2018-06-21 06:30:00",0,407,1,823,414
1592,"2018-06-21 07:30:00",0,497,4,2072,440
1587,"2018-06-21 07:05:00",0,1490,14,6979,474
1585,"2018-06-21 06:55:00",0,1816,6,2660,441
1601,"2018-06-21 08:15:00",0,995,5,2410,463
1589,"2018-06-21 07:15:00",0,806,5,2159,425
1597,"2018-06-21 07:55:00",0,679,3,1457,429
1596,"2018-06-21 07:50:00",0,3517,14,6465,444
1595,"2018-06-21 07:45:00",0,1629,7,3155,397
1598,"2018-06-21 08:00:00",0,1400,7,3301,421
1599,"2018-06-21 08:05:00",0,8282,41,16881,406
1605,"2018-06-21 08:35:00",0,1931,6,2873,459
1607,"2018-06-21 08:45:00",0,439,3,1461,428
1604,"2018-06-21 08:30:00",0,307,2,1092,476
1610,"2018-06-21 09:00:00",0,648,5,2651,498
1608,"2018-06-21 08:50:00",0,251,1,870,470
1609,"2018-06-21 08:55:00",0,534,1,761,431
1614,"2018-06-21 09:20:00",0,673,5,2111,397
1611,"2018-06-21 09:05:00",0,21307,58,23282,399
1612,"2018-06-21 09:10:00",0,924,2,1111,428
1613,"2018-06-21 09:15:00",0,448,2,1014,422
1615,"2018-06-21 09:25:00",0,1560,11,5316,447
