"id","cnt","ts"
327,102,"2018-06-29 07:00:00"
329,93,"2018-06-29 09:00:00"
288,86,"2018-06-27 16:00:00"
308,88,"2018-06-28 12:00:00"
330,95,"2018-06-29 10:00:00"
335,105,"2018-06-29 15:00:00"
331,101,"2018-06-29 11:00:00"
309,93,"2018-06-28 13:00:00"
290,71,"2018-06-27 18:00:00"
332,130,"2018-06-29 12:00:00"
310,94,"2018-06-28 14:00:00"
333,120,"2018-06-29 13:00:00"
334,94,"2018-06-29 14:00:00"
292,65,"2018-06-27 20:00:00"
336,112,"2018-06-29 16:00:00"
311,103,"2018-06-28 15:00:00"
337,90,"2018-06-29 17:00:00"
294,54,"2018-06-27 22:00:00"
352,77,"2018-06-30 08:00:00"
312,96,"2018-06-28 16:00:00"
296,52,"2018-06-28 00:00:00"
338,92,"2018-06-29 18:00:00"
360,76,"2018-06-30 16:00:00"
313,107,"2018-06-28 17:00:00"
346,69,"2018-06-30 02:00:00"
339,92,"2018-06-29 19:00:00"
314,95,"2018-06-28 18:00:00"
363,76,"2018-06-30 19:00:00"
315,95,"2018-06-28 19:00:00"
340,87,"2018-06-29 20:00:00"
316,94,"2018-06-28 20:00:00"
317,81,"2018-06-28 21:00:00"
341,86,"2018-06-29 21:00:00"
318,87,"2018-06-28 22:00:00"
357,79,"2018-06-30 13:00:00"
319,77,"2018-06-28 23:00:00"
299,49,"2018-06-28 03:00:00"
298,44,"2018-06-28 02:00:00"
300,54,"2018-06-28 04:00:00"
297,52,"2018-06-28 01:00:00"
347,65,"2018-06-30 03:00:00"
320,77,"2018-06-29 00:00:00"
301,96,"2018-06-28 05:00:00"
302,78,"2018-06-28 06:00:00"
342,79,"2018-06-29 22:00:00"
353,89,"2018-06-30 09:00:00"
303,80,"2018-06-28 07:00:00"
366,59,"2018-06-30 22:00:00"
343,73,"2018-06-29 23:00:00"
304,95,"2018-06-28 08:00:00"
348,64,"2018-06-30 04:00:00"
344,68,"2018-06-30 00:00:00"
361,78,"2018-06-30 17:00:00"
354,84,"2018-06-30 10:00:00"
349,72,"2018-06-30 05:00:00"
358,74,"2018-06-30 14:00:00"
321,59,"2018-06-29 01:00:00"
364,81,"2018-06-30 20:00:00"
322,64,"2018-06-29 02:00:00"
323,72,"2018-06-29 03:00:00"
324,72,"2018-06-29 04:00:00"
350,69,"2018-06-30 06:00:00"
355,91,"2018-06-30 11:00:00"
367,72,"2018-06-30 23:00:00"
362,83,"2018-06-30 18:00:00"
359,87,"2018-06-30 15:00:00"
351,79,"2018-06-30 07:00:00"
365,67,"2018-06-30 21:00:00"
356,84,"2018-06-30 12:00:00"
400,92,"2018-07-02 08:00:00"
476,84,"2018-07-05 12:00:00"
406,84,"2018-07-02 14:00:00"
405,85,"2018-07-02 13:00:00"
370,61,"2018-07-01 02:00:00"
379,71,"2018-07-01 11:00:00"
374,78,"2018-07-01 06:00:00"
386,73,"2018-07-01 18:00:00"
368,68,"2018-07-01 00:00:00"
401,86,"2018-07-02 09:00:00"
402,83,"2018-07-02 10:00:00"
380,68,"2018-07-01 12:00:00"
403,95,"2018-07-02 11:00:00"
371,64,"2018-07-01 03:00:00"
404,87,"2018-07-02 12:00:00"
375,70,"2018-07-01 07:00:00"
387,85,"2018-07-01 19:00:00"
388,73,"2018-07-01 20:00:00"
381,74,"2018-07-01 13:00:00"
376,64,"2018-07-01 08:00:00"
372,73,"2018-07-01 04:00:00"
459,74,"2018-07-04 19:00:00"
430,102,"2018-07-03 14:00:00"
369,58,"2018-07-01 01:00:00"
382,66,"2018-07-01 14:00:00"
423,122,"2018-07-03 07:00:00"
389,78,"2018-07-01 21:00:00"
482,84,"2018-07-05 18:00:00"
436,86,"2018-07-03 20:00:00"
377,69,"2018-07-01 09:00:00"
373,78,"2018-07-01 05:00:00"
383,78,"2018-07-01 15:00:00"
390,75,"2018-07-01 22:00:00"
422,92,"2018-07-03 06:00:00"
378,59,"2018-07-01 10:00:00"
391,55,"2018-07-01 23:00:00"
455,80,"2018-07-04 15:00:00"
384,92,"2018-07-01 16:00:00"
392,50,"2018-07-02 00:00:00"
429,97,"2018-07-03 13:00:00"
421,80,"2018-07-03 05:00:00"
420,78,"2018-07-03 04:00:00"
393,53,"2018-07-02 01:00:00"
385,78,"2018-07-01 17:00:00"
394,46,"2018-07-02 02:00:00"
493,67,"2018-07-06 05:00:00"
492,65,"2018-07-06 04:00:00"
470,84,"2018-07-05 06:00:00"
419,69,"2018-07-03 03:00:00"
395,48,"2018-07-02 03:00:00"
478,97,"2018-07-05 14:00:00"
396,55,"2018-07-02 04:00:00"
443,67,"2018-07-04 03:00:00"
435,87,"2018-07-03 19:00:00"
418,72,"2018-07-03 02:00:00"
397,69,"2018-07-02 05:00:00"
447,95,"2018-07-04 07:00:00"
417,66,"2018-07-03 01:00:00"
398,72,"2018-07-02 06:00:00"
428,84,"2018-07-03 12:00:00"
399,116,"2018-07-02 07:00:00"
416,77,"2018-07-03 00:00:00"
415,81,"2018-07-02 23:00:00"
414,86,"2018-07-02 22:00:00"
413,82,"2018-07-02 21:00:00"
412,88,"2018-07-02 20:00:00"
410,78,"2018-07-02 18:00:00"
451,90,"2018-07-04 11:00:00"
409,73,"2018-07-02 17:00:00"
408,82,"2018-07-02 16:00:00"
407,79,"2018-07-02 15:00:00"
411,73,"2018-07-02 19:00:00"
474,89,"2018-07-05 10:00:00"
434,85,"2018-07-03 18:00:00"
427,87,"2018-07-03 11:00:00"
440,70,"2018-07-04 00:00:00"
486,69,"2018-07-05 22:00:00"
458,77,"2018-07-04 18:00:00"
426,87,"2018-07-03 10:00:00"
442,71,"2018-07-04 02:00:00"
433,89,"2018-07-03 17:00:00"
481,83,"2018-07-05 17:00:00"
425,95,"2018-07-03 09:00:00"
471,73,"2018-07-05 07:00:00"
439,71,"2018-07-03 23:00:00"
464,64,"2018-07-05 00:00:00"
424,108,"2018-07-03 08:00:00"
446,91,"2018-07-04 06:00:00"
432,89,"2018-07-03 16:00:00"
