"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
1090,"2018-05-30 21:00:00",1,1287,2,1,1,26,4284,1527
1115,"2018-05-31 22:00:00",1,22,7,8,12,13,9405,1325
1101,"2018-05-31 08:00:00",1,568,1,1,2,17,3283,2062
1108,"2018-05-31 15:00:00",1,42,1,1,2,5,1592,1235
1103,"2018-05-31 10:00:00",1,855,1,1,1,19,3354,2206
1094,"2018-05-31 01:00:00",1,3080,6,1,53,56,7616,1173
1086,"2018-05-30 17:00:00",1,267,1,1,2,12,2773,1906
1088,"2018-05-30 19:00:00",1,2216,7,1,28,46,11873,1695
1092,"2018-05-30 23:00:00",1,28,1,1,2,3,1696,1505
1104,"2018-05-31 11:00:00",1,6905,22,24,219,406,48264,2188
1116,"2018-05-31 23:00:00",1,197,7,8,13,18,8889,1198
1110,"2018-05-31 17:00:00",1,35,4,2,10,13,8241,2036
1096,"2018-05-31 03:00:00",1,32,1,1,3,5,1629,1274
1097,"2018-05-31 04:00:00",1,1886,6,1,27,49,10994,1709
1089,"2018-05-30 20:00:00",1,3215,9,1,23,44,17692,1892
1098,"2018-05-31 05:00:00",1,102,2,1,7,14,4792,1926
1109,"2018-05-31 16:00:00",1,18,1,1,3,5,1900,1216
1095,"2018-05-31 02:00:00",1,40,1,1,3,5,1309,957
1091,"2018-05-30 22:00:00",1,2791,4,1,32,52,6200,1257
1099,"2018-05-31 06:00:00",1,1358,2,1,4,31,5056,1878
1105,"2018-05-31 12:00:00",1,1486,3,1,17,33,4267,1301
1087,"2018-05-30 18:00:00",1,2739,4,1,12,53,8693,2045
1085,"2018-05-30 16:00:00",1,713,2,1,3,26,4417,1919
1106,"2018-05-31 13:00:00",1,883,2,1,4,21,2496,1149
1100,"2018-05-31 07:00:00",1,347,1,1,1,11,3705,2391
1107,"2018-05-31 14:00:00",1,2250,5,1,35,44,5693,963
1112,"2018-05-31 19:00:00",1,484,5,4,12,17,11861,2361
1111,"2018-05-31 18:00:00",1,1029,5,4,11,31,10559,2086
1113,"2018-05-31 20:00:00",1,2993,16,4,56,93,33526,2025
1114,"2018-05-31 21:00:00",1,32,5,5,12,15,9816,1813
1170,"2018-06-03 05:00:00",1,51,1,1,6,7,1079,592
1119,"2018-06-01 02:00:00",1,36,6,7,12,14,9057,1388
1131,"2018-06-01 14:00:00",1,255,2,1,11,19,5573,1866
1165,"2018-06-03 00:00:00",1,13,1,2,4,4,338,209
1130,"2018-06-01 13:00:00",1,440,2,1,10,17,3723,1346
1152,"2018-06-02 11:00:00",1,28,1,1,2,4,1574,1358
1122,"2018-06-01 05:00:00",1,947,5,4,12,31,11915,2273
