"id","ts","cnt","l1","l2","l3","l4","apmi"
1776,"2018-07-07 17:00:00",880,880,0,0,0,100
1775,"2018-07-07 16:00:00",695,695,0,0,0,100
1765,"2018-07-07 06:00:00",390,390,0,0,0,100
1767,"2018-07-07 08:00:00",430,430,0,0,0,100
1810,"2018-07-09 03:00:00",229,229,0,0,0,100
1804,"2018-07-08 21:00:00",599,599,0,0,0,100
1785,"2018-07-08 02:00:00",182,182,0,0,0,100
1770,"2018-07-07 11:00:00",695,695,0,0,0,100
1774,"2018-07-07 15:00:00",659,659,0,0,0,100
1795,"2018-07-08 12:00:00",755,755,0,0,0,100
1790,"2018-07-08 07:00:00",635,635,0,0,0,100
1794,"2018-07-08 11:00:00",526,526,0,0,0,100
1823,"2018-07-09 16:00:00",1380,1380,0,0,0,100
1808,"2018-07-09 01:00:00",156,156,0,0,0,100
1783,"2018-07-08 00:00:00",206,206,0,0,0,100
1797,"2018-07-08 14:00:00",952,952,0,0,0,100
1789,"2018-07-08 06:00:00",584,584,0,0,0,100
1820,"2018-07-09 13:00:00",943,920,18,5,0,99.2577
1812,"2018-07-09 05:00:00",366,366,0,0,0,100
1806,"2018-07-08 23:00:00",260,260,0,0,0,100
1817,"2018-07-09 10:00:00",813,813,0,0,0,100
1813,"2018-07-09 06:00:00",1538,1538,0,0,0,100
1801,"2018-07-08 18:00:00",1132,1132,0,0,0,100
1800,"2018-07-08 17:00:00",1097,1097,0,0,0,100
1811,"2018-07-09 04:00:00",284,284,0,0,0,100
1799,"2018-07-08 16:00:00",1281,1281,0,0,0,100
1805,"2018-07-08 22:00:00",267,267,0,0,0,100
1815,"2018-07-09 08:00:00",1089,1088,1,0,0,99.977
1809,"2018-07-09 02:00:00",153,153,0,0,0,100
1819,"2018-07-09 12:00:00",1023,995,28,0,0,99.3157
1824,"2018-07-09 17:00:00",1180,1180,0,0,0,100
1818,"2018-07-09 11:00:00",833,833,0,0,0,100
1821,"2018-07-09 14:00:00",660,658,2,0,0,99.9242
1826,"2018-07-09 19:00:00",939,939,0,0,0,100
1822,"2018-07-09 15:00:00",1033,1033,0,0,0,100
1825,"2018-07-09 18:00:00",1088,1088,0,0,0,100
1827,"2018-07-09 20:00:00",895,895,0,0,0,100
1829,"2018-07-09 22:00:00",423,423,0,0,0,100
1832,"2018-07-10 01:00:00",153,153,0,0,0,100
1830,"2018-07-09 23:00:00",326,326,0,0,0,100
1831,"2018-07-10 00:00:00",153,153,0,0,0,100
1833,"2018-07-10 02:00:00",319,318,1,0,0,99.9216
1834,"2018-07-10 03:00:00",148,148,0,0,0,100
1835,"2018-07-10 04:00:00",386,386,0,0,0,100
1836,"2018-07-10 05:00:00",665,665,0,0,0,100
1837,"2018-07-10 06:00:00",1494,1494,0,0,0,100
1838,"2018-07-10 07:00:00",1567,1567,0,0,0,100
1899,"2018-07-12 20:00:00",545,545,0,0,0,100
1886,"2018-07-12 07:00:00",1766,1766,0,0,0,100
1843,"2018-07-10 12:00:00",1366,1366,0,0,0,100
1883,"2018-07-12 04:00:00",569,569,0,0,0,100
1895,"2018-07-12 16:00:00",1190,1188,2,0,0,99.958
1881,"2018-07-12 02:00:00",167,167,0,0,0,100
1858,"2018-07-11 03:00:00",133,133,0,0,0,100
1877,"2018-07-11 22:00:00",390,390,0,0,0,100
1891,"2018-07-12 12:00:00",485,485,0,0,0,100
1848,"2018-07-10 17:00:00",4257,4257,0,0,0,100
1866,"2018-07-11 11:00:00",1466,1466,0,0,0,100
1872,"2018-07-11 17:00:00",1439,1439,0,0,0,100
1859,"2018-07-11 04:00:00",352,352,0,0,0,100
1839,"2018-07-10 08:00:00",1707,1707,0,0,0,100
1887,"2018-07-12 08:00:00",1776,1776,0,0,0,100
1844,"2018-07-10 13:00:00",3531,3521,10,0,0,99.9292
1875,"2018-07-11 20:00:00",864,864,0,0,0,100
1864,"2018-07-11 09:00:00",1594,1594,0,0,0,100
1855,"2018-07-11 00:00:00",122,122,0,0,0,100
1890,"2018-07-12 11:00:00",640,640,0,0,0,100
1889,"2018-07-12 10:00:00",572,572,0,0,0,100
1849,"2018-07-10 18:00:00",1604,1604,0,0,0,100
1862,"2018-07-11 07:00:00",1746,1746,0,0,0,100
